state_name,state_code,county_name,population,total_votes,turnout,college_educated,_merge
Colorado,CO,Lake County,7365.0,3911.0,0.5310251188051596,2583,both
Colorado,CO,Larimer County,370771.0,225482.0,0.6081435710991421,134668,both
Colorado,CO,Las Animas County,14348.0,7792.0,0.5430722051853917,1867,both
Colorado,CO,Lincoln County,5480.0,2571.0,0.4691605839416058,1099,both
Colorado,CO,Logan County,20619.0,10162.0,0.49284640380231826,2967,both
Colorado,CO,Mesa County,159681.0,91600.0,0.5736437021311239,35096,both
Colorado,CO,Mineral County,944.0,753.0,0.7976694915254238,373,both
Colorado,CO,Moffat County,13327.0,6671.0,0.5005627673144744,1903,both
Colorado,CO,Montezuma County,26531.0,15136.0,0.5705024311183144,5984,both
Colorado,CO,Montrose County,44156.0,25617.0,0.5801476583023825,9072,both
Colorado,CO,Morgan County,29524.0,13458.0,0.4558325430158515,3482,both
Colorado,CO,Otero County,18136.0,8925.0,0.49211513012792235,2580,both
Colorado,CO,Ouray County,5176.0,4098.0,0.7917310664605873,2315,both
Colorado,CO,Park County,18117.0,12044.0,0.664789976265386,5755,both
Colorado,CO,Phillips County,4476.0,2354.0,0.5259159964253798,791,both
Colorado,CO,Pitkin County,16640.0,11167.0,0.67109375,8859,both
Colorado,CO,Prowers County,11751.0,5144.0,0.43774997872521487,1485,both
Colorado,CO,Pueblo County,169422.0,85107.0,0.5023373587845734,30221,both
Colorado,CO,Rio Blanco County,6569.0,3690.0,0.5617293347541483,1200,both
Colorado,CO,Rio Grande County,11188.0,6194.0,0.5536288880943868,2597,both
Colorado,CO,Routt County,25064.0,16335.0,0.6517315671879987,10099,both
Colorado,CO,Saguache County,6688.0,3400.0,0.5083732057416268,1555,both
Colorado,CO,San Juan County,802.0,588.0,0.7331670822942643,288,both
Colorado,CO,San Miguel County,7868.0,4804.0,0.610574478901881,4213,both
Colorado,CO,Sedgwick County,2299.0,1358.0,0.5906916050456721,469,both
Colorado,CO,Summit County,30465.0,17542.0,0.5758083046118496,12751,both
Colorado,CO,Teller County,24617.0,16326.0,0.6632002274850713,7515,both
Colorado,CO,Washington County,4855.0,2806.0,0.5779608650875386,873,both
Colorado,CO,Weld County,359442.0,179854.0,0.5003700179723015,73994,both
Colorado,CO,Yuma County,9862.0,4663.0,0.47282498479010343,1823,both
Connecticut,CT,Capitol Planning Region,975328.0,474268.0,0.4862651333705174,299133,both
Connecticut,CT,Greater Bridgeport Planning Region,327651.0,137015.0,0.41817360545214266,97347,both
Connecticut,CT,Lower Connecticut River Valley Planning Region,176215.0,104480.0,0.5929120676446387,61944,both
Connecticut,CT,Naugatuck Valley Planning Region,456128.0,217520.0,0.47688368177353724,116149,both
Connecticut,CT,Northeastern Connecticut Planning Region,96692.0,50962.0,0.5270549786952385,19359,both
Connecticut,CT,Northwest Hills Planning Region,113463.0,64076.0,0.5647303526259662,34414,both
Connecticut,CT,South Central Connecticut Planning Region,568158.0,264854.0,0.46616258153541795,172720,both
Connecticut,CT,Southeastern Connecticut Planning Region,279634.0,136954.0,0.48976161697075465,72236,both
Connecticut,CT,Western Connecticut Planning Region,623907.0,308300.0,0.494144159305794,251991,both
Delaware,DE,Kent County,189789.0,88141.0,0.46441574590729706,34818,both
Delaware,DE,New Castle County,578592.0,275917.0,0.47687662463359326,162701,both
Delaware,DE,Sussex County,263509.0,147639.0,0.5602806735253825,62189,both
District of Columbia,DC,District of Columbia,678972.0,325869.0,0.47994468107668653,326095,both
Florida,FL,Alachua County,285994.0,136548.0,0.47745057588620743,92574,both
Florida,FL,Baker County,28368.0,14977.0,0.527954032712916,3098,both
