state_name,state_code,county_name,population,total_votes,_merge
Georgia,GA,Lincoln County,7879.0,4931.0,both
Georgia,GA,Long County,19594.0,7056.0,both
Georgia,GA,Lowndes County,120712.0,47795.0,both
Georgia,GA,Lumpkin County,35258.0,17808.0,both
Georgia,GA,Macon County,11817.0,4686.0,both
Georgia,GA,Madison County,32191.0,16787.0,both
Georgia,GA,Marion County,7440.0,3621.0,both
Georgia,GA,McDuffie County,21799.0,10537.0,both
Georgia,GA,McIntosh County,11501.0,7408.0,both
Georgia,GA,Meriwether County,20931.0,11788.0,both
Georgia,GA,Miller County,5747.0,2724.0,both
Georgia,GA,Mitchell County,21114.0,8877.0,both
Georgia,GA,Monroe County,30625.0,17704.0,both
Georgia,GA,Montgomery County,8761.0,3973.0,both
