state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,_merge
Alaska,AK,Wrangell City and Borough,,,,,912,81433,64545,498,96602,73800,right_only
Alaska,AK,Yakutat City and Borough,,,,,207,92687,80625,134,104642,108750,right_only
Alaska,AK,Yukon-Koyukuk Census Area,,,,,2317,65009,52642,1285,77572,62975,right_only
Arizona,AZ,Apache County,65036.0,32019.0,0.49232732640383786,6615,20439,57306,40338,13650,66164,49277,both
Arizona,AZ,Cochise County,124640.0,58923.0,0.47274550706033375,24873,50476,77541,58970,31131,93043,75734,both
Arizona,AZ,Coconino County,144472.0,70067.0,0.4849867102275873,36848,53642,95848,69748,31436,117517,88944,both
Arizona,AZ,Gila County,54003.0,27648.0,0.5119715571357146,7825,23253,75671,59089,14580,88556,70477,both
Arizona,AZ,Graham County,39525.0,15183.0,0.38413662239089186,3861,12460,80094,67326,9065,89118,75087,both
Arizona,AZ,Greenlee County,9369.0,3308.0,0.35307930408794963,1231,3444,84558,75239,2176,98992,81818,both
Arizona,AZ,La Paz County,16710.0,7624.0,0.45625374027528426,1846,8887,68092,49506,5423,80280,61713,both
Arizona,AZ,Maricopa County,4585871.0,2053945.0,0.44788547257434846,1146516,1697342,115162,85518,1105438,131844,100929,both
Arizona,AZ,Mohave County,223682.0,110450.0,0.49378135030981485,25956,96899,76121,55799,59924,88268,67820,both
Arizona,AZ,Navajo County,109175.0,50706.0,0.4644469887794825,13148,39171,67131,52752,27603,77126,62061,both
Arizona,AZ,Pima County,1063162.0,513176.0,0.4826884331832778,271507,430965,92561,67929,257825,111669,87639,both
Arizona,AZ,Pinal County,484239.0,209552.0,0.432744987495844,72312,157193,97007,77588,113297,105405,86967,both
Arizona,AZ,Santa Cruz County,49158.0,19121.0,0.38897025916432726,7799,16816,70629,53614,12095,78746,61151,both
Arizona,AZ,Yavapai County,249081.0,149402.0,0.5998129122654879,56593,108900,88175,66106,67035,105024,82717,both
Arizona,AZ,Yuma County,213221.0,68195.0,0.3198324742872419,23556,76903,77603,60417,54813,83867,67312,both
Arkansas,AR,Arkansas County,16307.0,5547.0,0.34016066719813576,1832,6587,73981,60831,4253,89412,72510,both
Arkansas,AR,Ashley County,18262.0,7030.0,0.3849523600919943,1662,7199,60457,44481,4385,75294,60285,both
Arkansas,AR,Baxter County,42875.0,20954.0,0.48872303206997086,6074,19289,68034,48427,11969,82505,61627,both
Arkansas,AR,Benton County,311013.0,128595.0,0.41347146260767237,74335,107667,121779,89879,78896,137313,103182,both
Arkansas,AR,Boone County,38530.0,17112.0,0.4441214637944459,4472,15232,70513,54195,10009,86424,69420,both
Arkansas,AR,Bradley County,10104.0,3209.0,0.317596991290578,1197,3600,62232,39565,2180,75156,62877,both
Arkansas,AR,Calhoun County,4641.0,2092.0,0.45076492135315666,637,1584,73162,63654,1136,83146,72955,both
Arkansas,AR,Carroll County,28814.0,11538.0,0.4004303463594086,4448,11106,72185,55187,7501,88362,73830,both
Arkansas,AR,Chicot County,9538.0,3490.0,0.3659048018452506,1219,3919,59697,39683,2415,75584,55571,both
Arkansas,AR,Clark County,21274.0,7657.0,0.3599229105950926,3445,8147,67510,50985,4894,85664,67546,both
Arkansas,AR,Clay County,14201.0,4967.0,0.34976410111963946,1667,6116,63441,48500,3979,75516,57397,both
Arkansas,AR,Cleburne County,25445.0,12739.0,0.5006484574572607,3418,10458,74855,55979,6784,84094,68688,both
Arkansas,AR,Cleveland County,7378.0,3374.0,0.4573055028462998,873,2793,69803,50509,1960,85000,69610,both
Arkansas,AR,Columbia County,22150.0,7940.0,0.35846501128668173,3303,8361,66389,47363,5370,82268,64147,both
Arkansas,AR,Conway County,21077.0,8541.0,0.4052284480713574,2754,8303,69207,51212,5673,81685,61699,both
Arkansas,AR,Craighead County,113993.0,37242.0,0.3267042713149053,21600,43357,82653,57615,28907,98979,76364,both
Arkansas,AR,Crawford County,61891.0,23834.0,0.38509637911812705,8332,22994,75580,60362,16738,87119,72308,both
Arkansas,AR,Crittenden County,47139.0,14681.0,0.3114406330214896,5486,18338,72770,54271,11832,84684,63203,both
Arkansas,AR,Cross County,16420.0,6534.0,0.3979293544457978,1725,6524,69861,47012,4710,81176,61695,both
Arkansas,AR,Dallas County,6185.0,2324.0,0.3757477768795473,543,2425,60225,44694,1540,78707,70625,both
Arkansas,AR,Desha County,10479.0,3505.0,0.33447848077106596,1054,4750,52920,36064,3180,63736,44738,both
Arkansas,AR,Drew County,16945.0,6365.0,0.3756270286220124,2768,7004,63455,41071,4059,80929,61418,both
Arkansas,AR,Faulkner County,129951.0,54465.0,0.4191195142784588,29061,48866,85913,65071,32063,104092,81392,both
Arkansas,AR,Franklin County,17468.0,6971.0,0.3990725898786352,1700,6878,65796,51919,4495,80550,63397,both
Arkansas,AR,Fulton County,12421.0,5043.0,0.4060059576523629,1440,4808,54372,38941,2977,64468,48635,both
Arkansas,AR,Garland County,99784.0,42327.0,0.424186242283332,19650,43762,74518,55409,27405,89473,70043,both
Arkansas,AR,Grant County,18383.0,8078.0,0.4394277321438285,2793,6955,91164,72512,4711,112413,93335,both
