state_code,county_name,population,total_votes,turnout
GA,Morgan County,21460.0,13181.0,0.6142124883504194
GA,Murray County,41035.0,17468.0,0.42568539052028753
GA,Muscogee County,201877.0,80491.0,0.39871307776517384
GA,Newton County,120135.0,59051.0,0.49153868564531566
GA,Oconee County,44182.0,27287.0,0.6176044543026572
GA,Oglethorpe County,15754.0,8822.0,0.5599847657737718
GA,Paulding County,183164.0,95196.0,0.5197309514970191
GA,Peach County,28805.0,13454.0,0.46707168894289186
GA,Pickens County,35969.0,20915.0,0.5814729350273847
GA,Pierce County,20425.0,9761.0,0.47789473684210526
GA,Pike County,20461.0,12549.0,0.613313132300474
GA,Polk County,44223.0,19171.0,0.4335074508739796
GA,Pulaski County,10095.0,4336.0,0.42951956414066367
GA,Putnam County,23129.0,12877.0,0.5567469410696528
GA,Quitman County,2280.0,1140.0,0.5
GA,Rabun County,17442.0,10423.0,0.5975805526889119
GA,Randolph County,6078.0,2990.0,0.4919381375452451
GA,Richmond County,205414.0,83578.0,0.4068758701938524
GA,Rockdale County,95987.0,45160.0,0.4704803775511267
GA,Schley County,4526.0,2428.0,0.5364560318161732
GA,Screven County,14174.0,6920.0,0.48821786369408776
GA,Seminole County,9092.0,4007.0,0.44071711394632646
GA,Spalding County,69946.0,33038.0,0.47233580190432617
GA,Stephens County,27228.0,13099.0,0.48108564712795654
GA,Stewart County,4674.0,2028.0,0.4338896020539153
GA,Sumter County,28890.0,12049.0,0.41706472827968155
GA,Talbot County,5718.0,3379.0,0.5909408884225253
GA,Taliaferro County,1609.0,884.0,0.5494095711622126
GA,Tattnall County,24296.0,8512.0,0.35034573592360885
