state_name,state_code,county_name,college_educated
Georgia,GA,Echols County,365
Georgia,GA,Effingham County,12310
Georgia,GA,Elbert County,2108
Georgia,GA,Emanuel County,1996
Georgia,GA,Evans County,1074
Georgia,GA,Fannin County,4581
Georgia,GA,Fayette County,41503
Georgia,GA,Floyd County,17086
Georgia,GA,Forsyth County,100104
Georgia,GA,Franklin County,3011
Georgia,GA,Fulton County,451326
Georgia,GA,Gilmer County,5583
Georgia,GA,Glascock County,292
Georgia,GA,Glynn County,18784
Georgia,GA,Gordon County,7364
Georgia,GA,Grady County,2786
Georgia,GA,Greene County,5396
Georgia,GA,Gwinnett County,252498
Georgia,GA,Habersham County,8278
Georgia,GA,Hall County,38343
Georgia,GA,Hancock County,575
Georgia,GA,Haralson County,3899
Georgia,GA,Harris County,8867
Georgia,GA,Hart County,3607
Georgia,GA,Heard County,980
Georgia,GA,Henry County,47946
Georgia,GA,Houston County,36802
Georgia,GA,Irwin County,1079
Georgia,GA,Jackson County,15339
Georgia,GA,Jasper County,2143
Georgia,GA,Jeff Davis County,1194
Georgia,GA,Jefferson County,1217
Georgia,GA,Jenkins County,557
Georgia,GA,Johnson County,645
Georgia,GA,Jones County,3784
Georgia,GA,Lamar County,2529
Georgia,GA,Lanier County,1291
Georgia,GA,Laurens County,6141
Georgia,GA,Lee County,7797
Georgia,GA,Liberty County,8278
Georgia,GA,Lincoln County,970
Georgia,GA,Long County,1547
Georgia,GA,Lowndes County,20626
Georgia,GA,Lumpkin County,7141
Georgia,GA,McDuffie County,2650
Georgia,GA,McIntosh County,1697
Georgia,GA,Macon County,963
Georgia,GA,Madison County,4385
Georgia,GA,Marion County,762
Georgia,GA,Meriwether County,2064
Georgia,GA,Miller County,889
Georgia,GA,Mitchell County,1960
Georgia,GA,Monroe County,6048
Georgia,GA,Montgomery County,1203
Georgia,GA,Morgan County,4548
Georgia,GA,Murray County,3884
Georgia,GA,Muscogee County,42120
Georgia,GA,Newton County,18365
Georgia,GA,Oconee County,15690
Georgia,GA,Oglethorpe County,2701
Georgia,GA,Paulding County,32546
Georgia,GA,Peach County,4549
Georgia,GA,Pickens County,6376
Georgia,GA,Pierce County,2485
Georgia,GA,Pike County,2923
Georgia,GA,Polk County,4526
Georgia,GA,Pulaski County,972
Georgia,GA,Putnam County,4809
Georgia,GA,Quitman County,141
Georgia,GA,Rabun County,4233
Georgia,GA,Randolph County,637
Georgia,GA,Richmond County,34241
Georgia,GA,Rockdale County,18996
Georgia,GA,Schley County,613
Georgia,GA,Screven County,1594
Georgia,GA,Seminole County,1065
Georgia,GA,Spalding County,8683
Georgia,GA,Stephens County,2822
Georgia,GA,Stewart County,533
Georgia,GA,Sumter County,4048
Georgia,GA,Talbot County,665
Georgia,GA,Taliaferro County,128
Georgia,GA,Tattnall County,2611
Georgia,GA,Taylor County,1065
Georgia,GA,Telfair County,849
Georgia,GA,Terrell County,719
Georgia,GA,Thomas County,7736
Georgia,GA,Tift County,5579
Georgia,GA,Toombs County,3435
Georgia,GA,Towns County,3325
Georgia,GA,Treutlen County,538
Georgia,GA,Troup County,10964
Georgia,GA,Turner County,693
Georgia,GA,Twiggs County,654
Georgia,GA,Union County,5293
Georgia,GA,Upson County,2927
Georgia,GA,Walker County,9934
Georgia,GA,Walton County,17288
Georgia,GA,Ware County,3909
Georgia,GA,Warren County,481
Georgia,GA,Washington County,2475
Georgia,GA,Wayne County,2984
Georgia,GA,Webster County,273
Georgia,GA,Wheeler County,631
Georgia,GA,White County,5069
Georgia,GA,Whitfield County,13642
Georgia,GA,Wilcox County,917
Georgia,GA,Wilkes County,1150
Georgia,GA,Wilkinson County,829
Georgia,GA,Worth County,1687
Hawaii,HI,Hawaii County,46572
Hawaii,HI,Honolulu County,277301
Hawaii,HI,Kalawao County,14
Hawaii,HI,Kauai County,16285
Hawaii,HI,Maui County,36617
Idaho,ID,Ada County,158584
Idaho,ID,Adams County,812
Idaho,ID,Bannock County,17984
Idaho,ID,Bear Lake County,884
Idaho,ID,Benewah County,1405
Idaho,ID,Bingham County,6458
Idaho,ID,Blaine County,8493
Idaho,ID,Boise County,1920
Idaho,ID,Bonner County,10844
Idaho,ID,Bonneville County,25690
Idaho,ID,Boundary County,1734
Idaho,ID,Butte County,245
Idaho,ID,Camas County,202
Idaho,ID,Canyon County,36960
Idaho,ID,Caribou County,736
Idaho,ID,Cassia County,3198
Idaho,ID,Clark County,114
Idaho,ID,Clearwater County,1396
Idaho,ID,Custer County,986
Idaho,ID,Elmore County,4016
Idaho,ID,Franklin County,1971
Idaho,ID,Fremont County,2098
Idaho,ID,Gem County,3143
Idaho,ID,Gooding County,1743
Idaho,ID,Idaho County,2863
Idaho,ID,Jefferson County,5299
Idaho,ID,Jerome County,2143
Idaho,ID,Kootenai County,36558
Idaho,ID,Latah County,11599
Idaho,ID,Lemhi County,1383
Idaho,ID,Lewis County,555
Idaho,ID,Lincoln County,439
Idaho,ID,Madison County,7858
Idaho,ID,Minidoka County,2346
Idaho,ID,Nez Perce County,8154
Idaho,ID,Oneida County,818
Idaho,ID,Owyhee County,1145
Idaho,ID,Payette County,3518
Idaho,ID,Power County,841
Idaho,ID,Shoshone County,1155
Idaho,ID,Teton County,4129
Idaho,ID,Twin Falls County,13961
Idaho,ID,Valley County,3525
Idaho,ID,Washington County,1459
Illinois,IL,Adams County,13078
Illinois,IL,Alexander County,447
Illinois,IL,Bond County,2530
Illinois,IL,Boone County,8841
Illinois,IL,Brown County,734
Illinois,IL,Bureau County,5328
Illinois,IL,Calhoun County,599
Illinois,IL,Carroll County,2263
Illinois,IL,Cass County,1768
Illinois,IL,Champaign County,64152
Illinois,IL,Christian County,4420
Illinois,IL,Clark County,2743
Illinois,IL,Clay County,1450
Illinois,IL,Clinton County,6819
Illinois,IL,Coles County,9075
Illinois,IL,Cook County,1611409
Illinois,IL,Crawford County,2923
Illinois,IL,Cumberland County,1401
Illinois,IL,DeKalb County,22411
Illinois,IL,De Witt County,2512
Illinois,IL,Douglas County,2734
Illinois,IL,DuPage County,346135
Illinois,IL,Edgar County,2680
Illinois,IL,Edwards County,616
Illinois,IL,Effingham County,6450
Illinois,IL,Fayette County,2569
Illinois,IL,Ford County,1859
Illinois,IL,Franklin County,4810
Illinois,IL,Fulton County,4414
Illinois,IL,Gallatin County,554
Illinois,IL,Greene County,1432
